!�ڵ�����
N,   129,           0.900,           3.221,           0.149
N,   130,           0.773,           3.227,           0.154
N,   131,           0.066,           3.332,           0.151
N,   132,          -0.066,           3.332,           0.151
N,   133,          -0.773,           3.227,           0.154
N,   134,          -0.900,           3.221,           0.149
N,   135,          -1.559,           2.912,           0.157
N,   136,          -1.674,           2.900,           0.148
N,   137,          -1.742,           2.806,           0.157
N,   138,          -2.340,           2.390,           0.149
N,   139,          -2.408,           2.283,           0.154
N,   140,          -2.853,           1.723,           0.151
N,   141,          -2.919,           1.609,           0.151
N,   142,          -3.181,           0.944,           0.154
N,   143,          -3.239,           0.831,           0.149
N,   144,          -3.301,           0.106,           0.157
N,   145,          -3.348,           0.000,           0.148
N,   146,          -2.504,          -0.107,           0.301
N,   147,          -2.408,          -0.827,           0.296
N,   148,          -2.346,          -0.942,           0.299
N,   149,          -1.989,          -1.561,           0.299
N,   150,          -1.920,          -1.672,           0.296
N,   151,          -1.345,          -2.115,           0.301
N,   152,          -1.277,          -2.212,           0.295
N,   153,          -1.159,          -2.222,           0.301
N,   154,          -0.488,          -2.499,           0.296
N,   155,          -0.357,          -2.503,           0.299
N,   156,           0.357,          -2.503,           0.299
N,   157,           0.488,          -2.499,           0.296
N,   158,           1.159,          -2.222,           0.301
N,   159,           1.277,          -2.212,           0.295
N,   160,           1.345,          -2.115,           0.301
N,   161,           1.920,          -1.672,           0.296
N,   162,           1.989,          -1.561,           0.299
N,   163,           2.346,          -0.942,           0.299
N,   164,           2.408,          -0.827,           0.296
N,   165,           2.504,          -0.107,           0.301
N,   166,           2.554,           0.000,           0.295
N,   167,           2.504,           0.107,           0.301
N,   168,           2.408,           0.827,           0.296
N,   169,           2.346,           0.942,           0.299
N,   170,           1.989,           1.561,           0.299
N,   171,           1.920,           1.672,           0.296
N,   172,           1.345,           2.115,           0.301
N,   173,           1.277,           2.212,           0.295
N,   174,           1.159,           2.222,           0.301
N,   175,           0.488,           2.499,           0.296
N,   176,           0.357,           2.503,           0.299
N,   177,          -0.357,           2.503,           0.299
N,   178,          -0.488,           2.499,           0.296
N,   179,          -1.159,           2.222,           0.301
N,   180,          -1.277,           2.212,           0.295
N,   181,          -1.345,           2.115,           0.301
N,   182,          -1.920,           1.672,           0.296
N,   183,          -1.989,           1.561,           0.299
N,   184,          -2.346,           0.942,           0.299
N,   185,          -2.408,           0.827,           0.296
N,   186,          -2.504,           0.107,           0.301
N,   187,          -2.554,           0.000,           0.295
N,   188,          -1.701,          -0.109,           0.406
N,   189,          -1.537,          -0.810,           0.404
N,   190,          -1.470,          -0.926,           0.404
N,   191,          -0.945,          -1.418,           0.406
N,   192,          -0.876,          -1.518,           0.402
N,   193,          -0.756,          -1.527,           0.406
N,   194,          -0.067,          -1.736,           0.404
N,   195,           0.067,          -1.736,           0.404
N,   196,           0.756,          -1.527,           0.406
N,   197,           0.876,          -1.518,           0.402
N,   198,           0.945,          -1.418,           0.406
N,   199,           1.470,          -0.926,           0.404
N,   200,           1.537,          -0.810,           0.404
N,   201,           1.701,          -0.109,           0.406
N,   202,           1.753,           0.000,           0.402
N,   203,           1.701,           0.109,           0.406
N,   204,           1.537,           0.810,           0.404
N,   205,           1.470,           0.926,           0.404
N,   206,           0.945,           1.418,           0.406
N,   207,           0.876,           1.518,           0.402
N,   208,           0.756,           1.527,           0.406
N,   209,           0.067,           1.736,           0.404
N,   210,          -0.067,           1.736,           0.404
N,   211,          -0.756,           1.527,           0.406
N,   212,          -0.876,           1.518,           0.402
N,   213,          -0.945,           1.418,           0.406
N,   214,          -1.470,           0.926,           0.404
N,   215,          -1.537,           0.810,           0.404
N,   216,          -1.701,           0.109,           0.406
N,   217,          -1.753,           0.000,           0.402
N,   218,          -0.890,          -0.113,           0.471
N,   219,          -0.543,          -0.715,           0.471
N,   220,          -0.474,          -0.821,           0.469
N,   221,          -0.348,          -0.828,           0.471
N,   222,           0.348,          -0.828,           0.471
N,   223,           0.474,          -0.821,           0.469
N,   224,           0.543,          -0.715,           0.471
N,   225,           0.890,          -0.113,           0.471
